Afkorting;Betekenis
KUL.;
MOC.;
Mx.;
pat.;
pMx.;
PME.;
PS.;
RAR.;
RBPA.;
Red.;
AMACR.;
AMI.;
caecumCA.;
CME.;
CMJ.;
eci.;
ECI.;
EMA.;
Gw.;
TUR.;
TURP.;
vb.;
VC.;
